category,api_name,filename,file_size_mb,row_count,column_count,missing_rate,duplicate_rate,key_columns,data_types
special_trading,mktblockdget,year_2023.csv,6.439517021179199,1000,12,0.0,2.0,"tradeDate, secID, secFullName, tradePrice","{'object': 8, 'float64': 3, 'int64': 1}"
special_trading,mktblockdget,year_2022.csv,6.19669246673584,1000,12,0.0,3.0,"tradeDate, secID, secFullName, tradePrice","{'object': 8, 'float64': 3, 'int64': 1}"
special_trading,mktblockdget,year_2020.csv,4.647343635559082,1000,12,0.0,6.5,"tradeDate, secID, secFullName, tradePrice","{'object': 8, 'float64': 3, 'int64': 1}"
special_trading,mktblockdget,year_2008.csv,0.196258544921875,1000,12,0.0,2.0,"tradeDate, secID, secFullName, tradePrice","{'object': 8, 'float64': 3, 'int64': 1}"
special_trading,mktblockdget,year_2009.csv,0.4097251892089844,1000,12,0.0,2.8000000000000003,"tradeDate, secID, secFullName, tradePrice","{'object': 8, 'float64': 3, 'int64': 1}"
special_trading,mktranklistsalesget,year_2023.csv,19.120702743530273,1000,13,7.6923076923076925,0.0,"secID, secShortName, tradeDate, side","{'object': 7, 'int64': 3, 'float64': 3}"
special_trading,mktranklistsalesget,year_2022.csv,21.650273323059082,1000,13,7.6923076923076925,0.0,"secID, secShortName, tradeDate, side","{'object': 7, 'int64': 3, 'float64': 3}"
special_trading,mktranklistsalesget,year_2020.csv,23.11256217956543,1000,13,7.6923076923076925,0.0,"secID, secShortName, tradeDate, side","{'object': 7, 'int64': 3, 'float64': 3}"
special_trading,mktranklistsalesget,year_2008.csv,10.657543182373047,1000,13,7.6923076923076925,0.0,"secID, secShortName, tradeDate, side","{'object': 7, 'int64': 3, 'float64': 3}"
special_trading,mktranklistsalesget,year_2009.csv,8.294424057006836,1000,13,7.6923076923076925,0.0,"secID, secShortName, tradeDate, side","{'object': 7, 'int64': 3, 'float64': 3}"
special_trading,equisactivityget,year_2023.csv,20.048497200012207,1000,9,0.0,0.0,"eventID, secID, secShortName, surveyDate, publishDate, updateTime","{'object': 7, 'int64': 2}"
special_trading,equisactivityget,year_2022.csv,19.66108512878418,1000,9,0.0,0.0,"eventID, secID, secShortName, surveyDate, publishDate, updateTime","{'object': 7, 'int64': 2}"
special_trading,equisactivityget,year_2020.csv,17.779237747192383,1000,9,0.0,0.0,"eventID, secID, secShortName, surveyDate, publishDate, updateTime","{'object': 7, 'int64': 2}"
special_trading,equisactivityget,year_2008.csv,7.58975887298584,1000,9,0.0,0.0,"eventID, secID, secShortName, surveyDate, publishDate, updateTime","{'object': 7, 'int64': 2}"
