接口名称（中文）	接口名称（英文）	所属数据包（有效期）		
(新准则)一般工商业现金流量表	getFdmtCFInduLT2018	[免费版数据包（2025/08/26~2026/09/09）]		
(新准则)证券业现金流量表	getFdmtCFSecuLT2018	[免费版数据包（2025/08/26~2026/09/09）]		
(新准则)合并现金流量表	getFdmtCFLT2018	[免费版数据包（2025/08/26~2026/09/09）]		
(新准则)银行业现金流量表 (Point in time)	getFdmtCFBank2018	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)银行业利润表 (Point in time)	getFdmtISBank2018	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)一般工商业利润表 (Point in time)	getFdmtISIndu2018	[极速版数据包（2025/08/26~2026/09/09）]		
员工人均薪酬	getFdmtAvgSalEmpl	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)合并利润表 (Point in time)	getFdmtIS2018	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)保险业利润表 (Point in time)	getFdmtISInsu2018	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)证券业利润表 (Point in time)	getFdmtISSecu2018	[极速版数据包（2025/08/26~2026/09/09）]		
国证月度权重	getCniIdxmWeight	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)财务指标(Point in time)	getFdmtMainDataPIT	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)单季度财务指标(Point in time)	getFdmtMainDataQPIT	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)财务指标(Last time)	getFdmtMainDataLt	[极速版数据包（2025/08/26~2026/09/09）]		
(新准则)单季度财务指标(Last time)	getFdmtMainDataQLt	[极速版数据包（2025/08/26~2026/09/09）]		
申万月度权重	getSwIdxmWeight	[极速版数据包（2025/08/26~2026/09/09）]		
A股精选精品因子数据	getEquFancyFactorsLite	[极速版数据包（2025/08/26~2026/09/09）]		
宏观行业-中国宏观重点指标	getEcoDataChinaLite	[极速版数据包（2025/08/26~2026/09/09）]		
